data_name,System,Variable ID,Section on Systems Map,Variable Name,Description,Value,Unit,Source organisation,Weblink,Tags
Apr_2023,Land Use & Natural Resources,n_143,Urban Development,Demand For Housing,The UK demand for housing,N/A,Index,UK Parliament - House of Commons Library,https://commonslibrary.parliament.uk/research-briefings/sn02820/,
Apr_2023,Land Use & Natural Resources,n_144,Urban Development,Demand For Land For Urbanisation,The total demand for land for urbanisation,,,,,
Apr_2023,Land Use & Natural Resources,n_145,Urban Development,Efficiency Of Developments,The carbon efficiency of urban developments,,,,,
Apr_2023,Land Use & Natural Resources,n_146,Urban Development,Land For Industrial Infrastructure,The amount of land used for industrial infrastructure in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_147,Urban Development,Land Prices,The cost of land in the UK,N/A,Pounds per thousand hectare (£/ha),"Department for Environment, Food & Rural Affairs",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/923759/VOA_land_values_2019.xlsx,
Apr_2023,Land Use & Natural Resources,n_148,Urban Development,New Houses Built,The number of new houses built in the UK,148630,New build dwellings Complete,"Department for Environment, Food & Rural Affairs","Housing supply: indicators of new supply, England: October to December 2020 (publishing.service.gov.uk)",
Apr_2023,Land Use & Natural Resources,n_149,Urban Development,Population,The total UK population,67.1,Million,Office for National Statistics,Overview of the UK population - Office for National Statistics (ons.gov.uk),
Apr_2023,Land Use & Natural Resources,n_150,Urban Development,Urban Expansion,The expansion of existing and new urban areas,,,,,
Apr_2023,Land Use & Natural Resources,n_151,Water,Agricultural Runoff And Erosion,The total amount of agricultral run off and erosion to soil casued by rain and flooding,0.05,"% of Rivers, Canals and Lakes that are in a 'bad' condition",JNCC,UKBI - B7. Surface water status | JNCC - Adviser to Government on Nature Conservation,
Apr_2023,Land Use & Natural Resources,n_152,Water,Frequency Of Droughts,The frequency and duration of droughts in the UK,,,Royal Meteorological Society,The 2018/2019 drought in the UK: a hydrological appraisal - Turner - 2021 - Weather - Wiley Online Library,
Apr_2023,Land Use & Natural Resources,n_153,Water,Frequency Of Extreme Heat Events,The frequency and duration of extreme heat events in the UK,13.2 Days,Warm Spell Duration Index,Met Office,soc_supplement-002.pdf (metoffice.gov.uk),
Apr_2023,Land Use & Natural Resources,n_154,Water,Frequency Of Floods,The frequency of floods in the UK,29,Number of flow gauging stations (and a water level monitoring site) that recorded high extremes between June 2019 and February 2020,Royal Meteorological Society,The 2019/2020 floods in the UK: a hydrological appraisal - Sefton - 2021 - Weather - Wiley Online Library,
Apr_2023,Land Use & Natural Resources,n_155,Water,Frequency Of Wildfires,The frequency and extent of wildfires in the UK,32000,Average number of wildfire incidents per year the Fire and Rescue Services attended between 2009-2010 to 2016-2017,Forestry Commission England,FC_Wildfire_Statistics_for_England_2009_10_to_2016_17.pdf (publishing.service.gov.uk),
Apr_2023,Land Use & Natural Resources,n_156,Water,Hydrological Connectivity At Landscape Level,The extent to which the landscape is connected hydrologically and water can travel through the environment,,,,,
Apr_2023,Land Use & Natural Resources,n_157,Water,Landscapes Water Storage Capacity,The capacity of the landscape to store water,30-270,Millimetres ,ADAS & Llywodraeth Cymru Welsh Government,Water Storage Capacity of Soils – Scoping Study (gov.wales),
Apr_2023,Land Use & Natural Resources,n_158,Water,Requirement For On-Farm Irrigation,The requirement for farms to provide artificial irrigation to crops,,,Gov.UK,fbs-fas24-201920_11jun20.pdf (publishing.service.gov.uk),
Apr_2023,Land Use & Natural Resources,n_159,Water,Risk Of Flooding (Interim),Short term risk of flooding from peatland restoration,,,UK Government,Check the long term flood risk for an area in England - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_160,Water,Clean Water Availability,The availability of clean water in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_161,Water,Water Quality,The quality of water in the environment,(multiple - see source),,"Department for Environment, Food & Rural Affairs",Open WIMS data,
Apr_2023,Land Use & Natural Resources,n_162,Urban Development,Total Land Available For Land Use Change,The total land available for change in use in the UK,,,,,
Apr_2023,Net Zero Buildings,n_163,Net Emissions,Air Quality,Levels of pollution in the air,,various,UK AIR/Defra,https://uk-air.defra.gov.uk/data/,
Apr_2023,Net Zero Buildings,n_164,Energy Efficiency,Fuel Poverty Risk,Risk of households experiencing fuel poverty,3.16,million households,BEIS,https://www.gov.uk/government/collections/fuel-poverty-statistics,
Apr_2023,Net Zero Buildings,n_165,Energy Efficiency,Energy Bills,The cost of energy bills,,,,,
Apr_2023,Net Zero Buildings,n_166,Net Emissions,Net Emissions,Total UK net carbon dioxide equivalent emissions,326,MtCO2/yr,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/972583/2020_Provisional_emissions_statistics_report.pdf,
Apr_2023,Net Zero Buildings,n_167,Electric Heating,Demand For Heat Pump Skills,UK demand for professionals with heat pump skills and expertise,,,,,
Apr_2023,Net Zero Buildings,n_168,Electric Heating,Disruption Of Heat Pump Installation,The amount of disruption casued by having a heat pump installed,600,£/property,Element Energy,https://webarchive.nationalarchives.gov.uk/ukgwa/20090609003228/http://www.berr.gov.uk/files/file46003.pdf,
Apr_2023,Net Zero Buildings,n_169,Electric Heating,Electric Heater Capital Costs,The cost of buying and installing an electric heater,1585 - 5115,£/property,Delta-ee,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/913508/cost-of-installing-heating-measures-in-domestic-properties.pdf,
Apr_2023,Net Zero Buildings,n_170,Electric Heating,Electric Heater Overall Costs,The total cost of having an electric heater,,,,,
Apr_2023,Net Zero Buildings,n_171,Electric Heating,Electric Heater Running Costs,The cost of running and maintaining an electric heater,0,£/yr,BEIS/Element Energy,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/831079/Electric_heating_options_in_off-gas_grid_homes.pdf,
Apr_2023,Net Zero Buildings,n_172,Electric Heating,F-Gas Demand,The total UK demand for F gasses,,,,,
Apr_2023,Net Zero Buildings,n_173,Electric Heating,Heat Pump Capital Costs,The cost of buying and installing a heat pump,10000,£/property,Delta-ee,https://www.delta-ee.com/downloads/1-research-downloads/39-heat-research/2925-whitepaper-what-is-the-potential-for-cutting-the-cost-of-an-installed-heat-pump.html,
Apr_2023,Net Zero Buildings,n_174,Electric Heating,Heat Pump Installation,The number of heat pumps installed in the UK,30000,units/year,Delta-ee,https://www.delta-ee.com/downloads/1-research-downloads/39-heat-research/2925-whitepaper-what-is-the-potential-for-cutting-the-cost-of-an-installed-heat-pump.html,Behaviour Change
Apr_2023,Net Zero Buildings,n_175,Electric Heating,Heat Pump Installed Efficiency,The actual efficiency of a heat pump once installed,2.76,Seasonal Performance Factor (SPF),RECC,https://www.recc.org.uk/pdf/performance-data-research-focused.pdf,
Apr_2023,Net Zero Buildings,n_176,Electric Heating,Heat Pump Jobs,The number of UK jobs connected to the heat pump market,33700,Number of installers (doesn't include jobs in manufacturing or maintenance),Heat Pump Association,https://www.heatpumps.org.uk/wp-content/uploads/2020/06/Building-the-Installer-Base-for-Net-Zero-Heating_02.06.pdf,Green Jobs
Apr_2023,Net Zero Buildings,n_177,Electric Heating,Heat Pump Manufacture,The number of heat pumps manufactured for the UK market,11000,#/yr,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf,
Apr_2023,Net Zero Buildings,n_178,Electric Heating,Heat Pump Overall Costs,The total cost of having a heat pump,,,,,
Apr_2023,Net Zero Buildings,n_179,Electric Heating,Heat Pump Running Costs,The cost of running and maintaining a heat pump,75,"£/yr (maintenance costs, exc. fuel)",CCC/AECOM,https://www.theccc.org.uk/wp-content/uploads/2019/07/The-costs-and-benefits-of-tighter-standards-for-new-buildings-Currie-Brown-and-AECOM.pdf,
Apr_2023,Net Zero Buildings,n_180,Electric Heating,Manufacturer Investment In Heat Pumps,The amount of money invested in heat pump technology by manufacturers,,,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf,
Apr_2023,Net Zero Buildings,n_181,Electric Heating,Buildings With Heat Pumps,The number of UK buildings with heat pumps,240,thousand,Delta-ee,https://www.delta-ee.com/downloads/1-research-downloads/39-heat-research/2925-whitepaper-what-is-the-potential-for-cutting-the-cost-of-an-installed-heat-pump.html,
Apr_2023,Net Zero Buildings,n_182,Electric Heating,Buildings With Electric Heating,The number of UK buildings with electric heaters,1.121,million storage heaters,,https://www.gov.uk/government/statistics/english-housing-survey-2020-to-2021-headline-report,
Apr_2023,Net Zero Buildings,n_183,Electric Heating,Positive Public Awareness Of Heat Pumps,The extent of positive pulic awareness of heat pumps,,,Energy Systems Catapult,https://www.climatexchange.org.uk/media/4754/cxc-attitudes-and-awareness-low-carbon-heating-july-2020.pdf,
Apr_2023,Net Zero Buildings,n_184,Electric Heating,Buildings Suitable For Heat Pumps,The number of UK buildings that are suitable for being heated by heat pumps,,,BEIS,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model,
Apr_2023,Net Zero Buildings,n_185,Electric Heating,Quality Of Heat Pump Installation,The quality of work done by heat pump installers,,,,,
Apr_2023,Net Zero Buildings,n_186,Electricity Grid,Electricity Generated From Biomethane,The amount of electircity in the grid that is generated from biomethane,7467,GWh,BEIS,https://www.gov.uk/government/statistics/renewable-sources-of-energy-chapter-6-digest-of-united-kingdom-energy-statistics-dukes,
Apr_2023,Net Zero Buildings,n_187,Electricity Grid,Carbon Intensity Of Electricity Grid,The amount of carbon created for each unit on energy generated in the electricity grid,0.21233,kgCO2e/kWh,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021,
Apr_2023,Net Zero Buildings,n_188,Electricity Grid,Demand Side Response,The extent to which energy use can be reduced at peak periods and shifted to other times through consumer behaviour,1,GW,National Grid,https://www.nationalgrideso.com/document/173821/download,Behaviour Change
Apr_2023,Net Zero Buildings,n_189,Electricity Grid,Dynamic Energy Pricing,"The extent to which energy prices to consumers vary throughout the day, encouraging usage away from peak times",,,,,
Apr_2023,Net Zero Buildings,n_190,Electricity Grid,Electricity Demand From Other Sources,"Electricity demand from other sources, not related to heating",21068,ktoe/yr,BEIS,https://www.gov.uk/government/statistics/energy-consumption-in-the-uk-2021,
Apr_2023,Net Zero Buildings,n_191,Electricity Grid,Electricity Grid Demand,The total electricity demand from the grid,24099,Thousand toe/yr,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/728488/DUKES_1.1.5.xls,
Apr_2023,Net Zero Buildings,n_192,Electricity Grid,Electricity Price,The price to consumers of electricity,19.2,p/kWh,BEIS,https://www.gov.uk/government/publications/valuation-of-energy-use-and-greenhouse-gas-emissions-for-appraisal,
Apr_2023,Net Zero Buildings,n_193,Electricity Grid,Emissions From Electricity Generation,The total carbon dioxide equivalent emissions from generation of electricity,50,MtCO2,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/972583/2020_Provisional_emissions_statistics_report.pdf,
Apr_2023,Net Zero Buildings,n_194,Electricity Grid,Grid-Level Electricity Storage,The amount of electiricty storage at the level of the electricity grid,4,GW,BEIS,https://www.gov.uk/government/publications/energy-and-emissions-projections-net-zero-strategy-baseline-partial-interim-update-december-2021,
Apr_2023,Net Zero Buildings,n_195,Electricity Grid,Individual Electricity Storage,The amount of electricity storage available for personal or private usage,1646.4,kWh capacity,Renewable Energy Association,https://www.r-e-a.net/wp-content/uploads/2019/10/Energy-Storage-FINAL6.pdf,
Apr_2023,Net Zero Buildings,n_196,Electricity Grid,Micro-Generation Of Electricity,Generation of electricity at the individual level i.e. solar panels on a house,6805,MW installed capacity,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1032260/UK_Energy_in_Brief_2021.pdf,Behaviour Change
Apr_2023,Net Zero Buildings,n_197,Electricity Grid,Necessity For Generation From Gas,The need to generate electricity from gas due to peaks in demand,111.4,TWh,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1032260/UK_Energy_in_Brief_2021.pdf,
Apr_2023,Net Zero Buildings,n_198,Electricity Grid,Need For Grid Reinforcement,The need to reinforce the electiricty grid due to higher demand,,,,,
Apr_2023,Net Zero Buildings,n_199,Electricity Grid,Other Renewable Electricity Generation,Renewable electricity generation outside of biomethane,127136,GWh,BEIS,https://www.gov.uk/government/statistics/energy-trends-section-6-renewables,
Apr_2023,Net Zero Buildings,n_200,Electricity Grid,Peak Electricity Demand,The total electricity demand at peak times,50,GW,BEIS/National Statistics,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1032260/UK_Energy_in_Brief_2021.pdf,
Apr_2023,Net Zero Buildings,n_201,Energy Efficiency,Accurate Building Efficiency Data,Availability of accurate data on the efficency of buildings and heating technologies,,,BEIS,https://www.gov.uk/government/publications/smart-meter-enabled-thermal-efficiency-ratings-smeter-technologies-project-technical-evaluation,
Apr_2023,Net Zero Buildings,n_202,Energy Efficiency,Average Building Energy Demand,The average energy demand of buildings for heating,0.874,koe/dwelling/yr,Odysee-Mure,https://www.odyssee-mure.eu/publications/efficiency-by-sector/households/heating-consumption-per-m2.html,
Apr_2023,Net Zero Buildings,n_203,Energy Efficiency,Average Building Heating Requirements,The average amount of heating required by each building,1.38,koe/dwelling/yr,Odysee-Mure,https://www.odyssee-mure.eu/publications/efficiency-by-sector/households/heating-consumption-per-m2.html,
Apr_2023,Net Zero Buildings,n_204,Energy Efficiency,Average Building Occupancy,The average occupany of buildings,7 (weekday) to 8 (weekend),Heated hours per day in heating season,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1018727/efus-heating-patterns-occupancy.pdf,
Apr_2023,Net Zero Buildings,n_205,Energy Efficiency,Average Building Temperature,The averag temperature to which buildings are heated to,18.1 to 21.5,ºC,BRE,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/274770/2_Mean_Household_Temperatures.pdf,
Apr_2023,Net Zero Buildings,n_206,Energy Efficiency,Cost Of Insulation,The cost of installing insulation,,,BEIS,https://www.gov.uk/government/collections/buildings-energy-efficiency-technical-research#the-cost-of-measures-to-improve-energy-efficiency,
Apr_2023,Net Zero Buildings,n_207,Energy Efficiency,Disruption Of Insulation Installation,The disruption casued by installing insulation,,,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/975987/tiwi-annex-a.pdf,
Apr_2023,Net Zero Buildings,n_208,Energy Efficiency,Efficiency Of New Buildings,The energy efficiency of new builds,2,W/m2K,DECC,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/345141/uk_housing_fact_file_2013.pdf,
Apr_2023,Net Zero Buildings,n_209,Energy Efficiency,Energy Efficiency Of Occupier Behaviour,The efficiency of the behaviour of building occupiers,,,Energies,https://www.mdpi.com/1996-1073/14/19/6109/htm,Behaviour Change
Apr_2023,Net Zero Buildings,n_210,Energy Efficiency,Heat Efficiency Of Building Stock,The heat average heat efficieny of the UK building stock,3.21,W/m2K,DECC,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/345141/uk_housing_fact_file_2013.pdf,
Apr_2023,Net Zero Buildings,n_211,Energy Efficiency,Buildings With Smart Meters,The number of buildings with smart meters,23.8,million,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1035290/Q3_2021_Smart_Meters_Statistics_Report.pdf,Behaviour Change
Apr_2023,Net Zero Buildings,n_212,Energy Efficiency,New Build Efficiency Regulations,The stringency of regulations ensuring new build heat efficiency,,,"
Department for Levelling Up, Housing and Communities and Ministry of Housing, Communities & Local Government",https://www.gov.uk/government/consultations/the-future-buildings-standard,
Apr_2023,Net Zero Buildings,n_213,Energy Efficiency,Occupier Control Of Energy Use,The extent to which building occupiers have control over their energy use,,,,,
Apr_2023,Net Zero Buildings,n_214,Energy Efficiency,Occupier Incentive To Reduce Energy Usage,The incentives for building occupiers to reduce their energy usage.,,,,,
Apr_2023,Net Zero Buildings,n_215,Energy Efficiency,Owner Occupier Motivation To Improve Efficiency,The incentive for building owners to reduce their energy usage,,,,,
Apr_2023,Net Zero Buildings,n_216,Energy Efficiency,Retrofit Of Insulation,The number of buildings retrofitted with insulation,,Annual rates per technology,,,Behaviour Change
Apr_2023,Net Zero Buildings,n_458,Energy Efficiency,Cost Of Alternate Fuels,Cost of alternative fuels including coal and oil.,,,,,
Apr_2023,Net Zero Buildings,n_459,Energy Efficiency,Consumer Ability To Pay For Upgrades,The ability of consumers to pay for housing upgrades,,,,,
Apr_2023,Net Zero Buildings,n_460,Energy Efficiency,Consumer Pro-Enviornmental Attitudes,The desire of consumers to make more environentally beneficial choices ,,,,,
Apr_2023,Net Zero Buildings,n_461,Energy Efficiency,Maintenace Of Current Building Stock,The level of maintenance carried out on the current building stock,,,,,
Apr_2023,Net Zero Buildings,n_462,Energy Efficiency,Efficiency Regulations,The stictness of regulations on building efficiency,,,,,
Apr_2023,Net Zero Buildings,n_463,Energy Efficiency,Cost Of Raw Materials,The cost of raw materials for efficiency improvements,,,,,
Apr_2023,Net Zero Buildings,n_464,Energy Efficiency,Availability Of Insulation Installers,The number of available insulation installers,,,,,
Apr_2023,Net Zero Buildings,n_465,Energy Efficiency,Landlord Motivation to Improve Efficiency,The motivation for building owner occupiers to improve the buildings efficiency,,,,,
Apr_2023,Net Zero Buildings,n_466,Energy Efficiency,Knowledge Of Suitable Energy Efficiency Measures,The public knowledge of measures that could improve building efficiency,,,,,
Apr_2023,Net Zero Buildings,n_467,Energy Efficiency,Legal Protection For Tenants,The legal protection for tenants wanting to upgrade their homes efficiency,,,,,
Apr_2023,Net Zero Buildings,n_468,Electric Heating,Heat Pump Technological Certainty,The certainty on effectiveness and popularity of heat pump technology,,,,,
Apr_2023,Net Zero Buildings,n_217,Gas Grid,Availability Of Feedstocks,The availability of feedstocks for anaerobic digestion,4163,tonnes/yr,Defra,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039249/nonfood-dataset-9dec21.ods,
Apr_2023,Net Zero Buildings,n_218,Gas Grid,Available Waste Streams,Available waste streams to supply anaerobic digestion feedstocks,9695,tonnes/yr,Defra,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039249/nonfood-dataset-9dec21.ods,
Apr_2023,Net Zero Buildings,n_219,Gas Grid,Biogas Jobs,The number of UK jobs connected to the biogas market,8200,#,ONS,https://www.ons.gov.uk/economy/environmentalaccounts/datasets/lowcarbonandrenewableenergyeconomyindirectestimatesdataset,Green Jobs
Apr_2023,Net Zero Buildings,n_220,Gas Grid,Biogas Production Capacity,The production capacity of biogas in the UK,68,ktoe/yr (heat),Defra,https://www.gov.uk/government/statistics/area-of-crops-grown-for-bioenergy-in-england-and-the-uk-2008-2020/section-3-anaerobic-digestion,
Apr_2023,Net Zero Buildings,n_221,Gas Grid,Biomethane Available For Heating,The amount of biomethane available for heating,172,Thousand tonnes of oil equivalent,BEIS,https://www.gov.uk/government/statistics/renewable-sources-of-energy-chapter-6-digest-of-united-kingdom-energy-statistics-dukes,
Apr_2023,Net Zero Buildings,n_222,Gas Grid,Biomethane Demand,The demand for biomethane in the UK,3690,ktoe/yr (heat),Defra,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039249/nonfood-dataset-9dec21.ods,
Apr_2023,Net Zero Buildings,n_223,Gas Grid,Carbon Intensity Of Gas Grid,The amount of carbon created for each unit on energy generated in the gas grid,0.1838,kgCO2e/kWh (Gross CV),BEIS/Defra,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2020,
Apr_2023,Net Zero Buildings,n_224,Gas Grid,Commercial Viability Of Anerobic Digestion,The commercial viability of operating anerobic digestion plants,,ROI,Energies,https://www.mdpi.com/1996-1073/14/24/8252,
Apr_2023,Net Zero Buildings,n_225,Gas Grid,Competing Biomethane Demand,Demand for biomethane for purposes outside of heating,5.4,million litres,Defra,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039249/nonfood-dataset-9dec21.ods,
Apr_2023,Net Zero Buildings,n_226,Gas Grid,Digestate Replacing Artificial Fertiliser,Using anerobic digestate to replace artifical chemical fertilisers,7.5,million tonnes,WRAP,https://wrap.org.uk/resources/report/anaerobic-digestion-and-composting-latest-industry-survey-report-new-summaries,
Apr_2023,Net Zero Buildings,n_227,Gas Grid,Hydrogen Availability,The availability of hydrgoen in the UK,1429,metric tonnes/day,Fuel Cells and Hydrogen Observatory,https://www.fchobservatory.eu/observatory/technology-and-market/hydrogen-supply-capacity,
Apr_2023,Net Zero Buildings,n_228,Gas Grid,Investment In Biogas,Investment in biogas by industry,"3,000-9,800 capital per kW, 200-1000 annual operating per kW","£/kW, £/kW/yr",ADBA,https://adbioresources.org/report-biomethane-the-pathway-to-2030/,
Apr_2023,Net Zero Buildings,n_229,Gas Grid,Land Used For Energy Crops,The amount of land used to grow energy crops for anerobic digestion,85,thousand hectares,Defra,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039249/nonfood-dataset-9dec21.ods,
Apr_2023,Net Zero Buildings,n_230,Gas Grid,Emissions From Gas,The total carbon dioxide equivalent emissions from burning gas,170,MtCO2/yr,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/972583/2020_Provisional_emissions_statistics_report.pdf,
Apr_2023,Net Zero Buildings,n_231,Gas Grid,Number Of Anaerobic Digestors,The number of anerobic digetion plants in the UK,579,#,Defra,https://www.gov.uk/government/statistics/area-of-crops-grown-for-bioenergy-in-england-and-the-uk-2008-2020/section-3-anaerobic-digestion,
Apr_2023,Net Zero Buildings,n_232,Gas Grid,Proportion Of Biomethane In Gas Grid,The proportion of gas in the grid that comes from renewable sources,9.264705882,%,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1006628/DUKES_2021_Chapter_4_Natural_gas.pdf,
Apr_2023,Net Zero Buildings,n_233,Gas Grid,Proportion Of Hydrogen In Gas Grid,The percentage of hydrogen blended into the gas grid,0,%,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1011283/UK-Hydrogen-Strategy_web.pdf,
Apr_2023,Net Zero Buildings,n_234,Gas Grid,Gas Demand,The total UK demand for gas,811,TWh/yr,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1006628/DUKES_2021_Chapter_4_Natural_gas.pdf,
Apr_2023,Net Zero Buildings,n_235,Gas Grid,Local Gas Grid Operability Risk,The risk to the local opearability of the gas grid caused by a reduction in buildings connected to it,,,,,
Apr_2023,Net Zero Buildings,n_236,Gas heating,Cost Of Gas Vs Alternatives,The cost of gas heating vs alternative sources,,ratio,,,
Apr_2023,Net Zero Buildings,n_237,Gas heating,Demand For Gas Boiler Skills,UK demand for professionals with gas boiler skills and expertise,,,,,
Apr_2023,Net Zero Buildings,n_238,Gas heating,Gas Boiler Capital Costs,The cost of buying and installing a gas boiler,3000,£/property,Delta-ee,https://www.delta-ee.com/downloads/1-research-downloads/39-heat-research/2925-whitepaper-what-is-the-potential-for-cutting-the-cost-of-an-installed-heat-pump.html,
Apr_2023,Net Zero Buildings,n_239,Gas heating,Gas Boiler Efficiency,The actual efficiency of a gas boiler once installed,0.87,higher heating value,CCC,https://www.theccc.org.uk/wp-content/uploads/2019/08/Analysis-on-abating-direct-emissions-from-%E2%80%98hard-to-decarbonise%E2%80%99-homes-Element-Energy-UCL.xlsx,
Apr_2023,Net Zero Buildings,n_240,Gas heating,Gas Boiler Installation,The number of gas boilers installed in the UK,1.65,million units/year,Delta-ee,https://www.delta-ee.com/downloads/1-research-downloads/39-heat-research/2925-whitepaper-what-is-the-potential-for-cutting-the-cost-of-an-installed-heat-pump.html,
Apr_2023,Net Zero Buildings,n_241,Gas heating,Gas Boiler Manufacture,The number of gas boilers manufactured for the UK market,0.55,,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf,
Apr_2023,Net Zero Buildings,n_242,Gas heating,Gas Boiler Overall Costs,The total cost of having a gas boiler,,,,,
Apr_2023,Net Zero Buildings,n_243,Gas heating,Gas Boiler Running Costs,The cost of running and maintaining a gas boiler,100,"£/yr (maintenance costs, exc. fuel)",CCC/AECOM,https://www.theccc.org.uk/wp-content/uploads/2019/07/The-costs-and-benefits-of-tighter-standards-for-new-buildings-Currie-Brown-and-AECOM.pdf,
Apr_2023,Net Zero Buildings,n_244,Gas heating,Gas Price,The price to consumers of gas,48,p/therm (real 2018 prices),HM Treasury,https://www.gov.uk/government/publications/valuation-of-energy-use-and-greenhouse-gas-emissions-for-appraisal,
Apr_2023,Net Zero Buildings,n_245,Gas heating,Buildings With Gas Boilers,The number of UK buildings with gas boilers,23,million (homes only),Delta-ee,https://www.delta-ee.com/downloads/1-research-downloads/39-heat-research/2925-whitepaper-what-is-the-potential-for-cutting-the-cost-of-an-installed-heat-pump.html,
Apr_2023,Net Zero Buildings,n_246,Heat Networks,Awareness/Interest In Heat Networks,Public awareness and interest in heat networks as a source of heating,,,,,
Apr_2023,Net Zero Buildings,n_247,Heat Networks,Buildings Connected To Green Heat Networks,The number of UK buildings connected to green heat networks,Approx. 1550-5600,#,BEIS,https://www.gov.uk/government/publications/energy-trends-march-2018-special-feature-article-experimental-statistics-on-heat-networks,
Apr_2023,Net Zero Buildings,n_248,Heat Networks,Heat Network Jobs,The number of UK jobs connected to the heat network market,,,,,Green Jobs
Apr_2023,Net Zero Buildings,n_249,Heat Networks,Existing CHP Networks,The number of exisiting combined heat and power networks,5.8,TWh/yr,The Association for Decentralised Energy,https://www.theade.co.uk/assets/docs/resources/Heat%20Networks%20in%20the%20UK_v5%20web%20single%20pages.pdf,
Apr_2023,Net Zero Buildings,n_250,Heat Networks,Green Heat Networks Construction,The number of new green heat networks constructed,224.99,£/m capex under construction,BEIS,https://www.gov.uk/government/publications/hndu-pipeline,
Apr_2023,Net Zero Buildings,n_251,Heat Networks,Green Heat Networks Demand,UK demand for green heat networks,,,,,
Apr_2023,Net Zero Buildings,n_252,Heat Networks,Heat Networks Construction Costs,The total cost of constructing a green heat network,1000,£/m,DECC,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/424254/heat_networks.pdf,
Apr_2023,Net Zero Buildings,n_253,Heat Networks,Organisations Providing Heat Networks,The number of organisation providing green heat networks to UK buildings,20,Number of members of Heat Trust,Heat Trust,https://heattrust.org/members,
Apr_2023,Net Zero Buildings,n_254,Heat Networks,Waste/Recovered Heat Used For Heating,The number of heat network using waste or recovered heat for buildings,95-310,TWh/yr,BEIS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1015585/opps_for_dhnnca_hc.pdf,
Apr_2023,Transport,n_255,Net Emissions,Net Emissions From Transport,,,,,,
Apr_2023,Transport,n_256,Net Emissions,Air Quality,,,,,,
Apr_2023,Transport,n_257,Net Emissions,Emissions From Infrastucture,,,,,,
Apr_2023,Transport,n_258,Mode Choice & Demand,Person Journeys Taken,,,,,,
Apr_2023,Transport,n_259,Mode Choice & Demand,Desire Or Need To Travel,,,,,,
Apr_2023,Transport,n_260,Mode Choice & Demand,Travel For Work,,,,,,
Apr_2023,Transport,n_261,Mode Choice & Demand,Travel For Leisure,,,,,,
Apr_2023,Transport,n_262,Mode Choice & Demand,Remote Working,,,,,,
Apr_2023,Transport,n_263,Mode Choice & Demand,Access To Jobs,,,,,,
Apr_2023,Transport,n_264,Mode Choice & Demand,Household Income Levels,,,,,,
Apr_2023,Transport,n_265,Mode Choice & Demand,Dispersal Of Personal Networks,,,,,,
